Date,Campus,Male-Adult,Female-Adult,Kids/Teen,Total,Global total,Comments,unique_id
2024-01-01 00:00:00,Lagos,1082,1630,160,2872,,,1
2024-01-01 00:00:00,Abuja,445,572,30,1047,,,2
2024-01-01 00:00:00,PHC,176,210,21,407,,,3
2024-01-01 00:00:00,Ibadan,214,282,25,521,,,4
2024-01-01 00:00:00,Ife,85,134,0,219,,,5
2024-01-01 00:00:00,Canada,84,127,18,229,,,6
2024-01-08 00:00:00,Lagos,1303,2028,161,3492,,,9
2024-01-08 00:00:00,Abuja,595,1140,48,1783,,,10
2024-01-08 00:00:00,PHC,186,268,20,474,,,11
2024-01-08 00:00:00,Ibadan,214,369,25,608,,,12
2024-01-08 00:00:00,Ife,97,130,3,230,,,13
2024-01-08 00:00:00,Canada,94,126,14,234,,,14
2024-01-08 00:00:00,UK (Birm),33,57,2,92,,,15
2024-01-08 00:00:00,UK (London),71,119,2,192,7105,,16
2024-01-15 00:00:00,Lagos,1461,2046,162,3669,,,17
2024-01-15 00:00:00,Abuja,595,822,46,1463,,,18
2024-01-15 00:00:00,PHC,141,290,33,464,,,19
2024-01-15 00:00:00,Ibadan,326,534,35,895,,,20
2024-01-15 00:00:00,Ife,110,145,4,259,,,21
2024-01-15 00:00:00,Canada,92,125,14,231,,,22
2024-01-15 00:00:00,UK (Birm),47,64,3,114,,,23
2024-01-15 00:00:00,UK (London),66,127,6,199,,,24
2024-01-15 00:00:00,Dallas,18,27,0,45,,,25
2024-01-15 00:00:00,Uyo,135,156,9,300,7639,,26
2024-01-22 00:00:00,Lagos,1594,2315,174,4083,,,27
2024-01-22 00:00:00,Abuja,518,788,53,1359,,,28
2024-01-22 00:00:00,PHC,193,291,24,508,,,29
2024-01-22 00:00:00,Ibadan,247,421,33,701,,,30
2024-01-22 00:00:00,Ife,113,157,4,274,,,31
2024-01-22 00:00:00,Canada,101,170,15,286,,,32
2024-01-22 00:00:00,UK (Birm),50,63,2,115,,,33
2024-01-22 00:00:00,UK (London),58,124,1,183,,,34
2024-01-22 00:00:00,Dallas,18,23,0,41,,,35
2024-01-22 00:00:00,Uyo,81,96,11,188,7738,,36
2024-01-29 00:00:00,Lagos,1966,1597,182,3745,,,37
2024-01-29 00:00:00,Abuja,535,827,87,1449,,,38
2024-01-29 00:00:00,PHC,168,264,27,459,,,39
2024-01-29 00:00:00,Ibadan,231,396,30,657,,,40
2024-01-29 00:00:00,Ife,92,115,2,209,,,41
2024-01-29 00:00:00,Canada,110,138,18,266,,,42
2024-01-29 00:00:00,UK (Birm),51,639,2,692,,,43
2024-01-29 00:00:00,UK (London),62,143,5,210,,,44
2024-01-29 00:00:00,Dallas,20,22,1,43,,,45
2024-01-29 00:00:00,Uyo,86,79,6,171,7901,,46
2024-02-05 00:00:00,Lagos,1461,2073,167,3701,,,47
2024-02-05 00:00:00,Abuja,528,806,64,1398,,,48
2024-02-05 00:00:00,PHC,180,279,22,481,,,49
2024-02-05 00:00:00,Ibadan,246,401,30,677,,,50
2024-02-05 00:00:00,Ife,110,150,4,264,,,51
2024-02-05 00:00:00,Canada,120,169,23,312,,,52
2024-02-05 00:00:00,UK (Birm),63,77,6,146,,,53
